CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         1x                         |        0.0s        0.0s                         | TOP::CMDs::apply_multicycle_path_constraints
         1x                         |        0.0s        0.0s                         | TOP::CMDs::bls_node
         1x                         |        0.5s        0.5s                         | TOP::CMDs::build_db
        23x                         |        0.0s        0.0s                         | TOP::CMDs::calypto_product
         2x                         |        0.4s        0.4s                         | TOP::CMDs::cdb_read_library
         3x                         |        0.8s        0.3s                         | TOP::CMDs::cdb_write_db
         1x                         |        0.0s        0.0s                         | TOP::CMDs::check_upf_sanity
         1x                         |        0.4s        0.4s                         | TOP::CMDs::compute_reports
         1x                         |        0.0s        0.0s                         | TOP::CMDs::config_clock_tree
         5x                         |        0.0s        0.0s                         | TOP::CMDs::config_write_rtl
         1x                         |        0.2s        0.2s                         | TOP::CMDs::cpt::build_cdb_from_verific_netlist
         3x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_cptroot
        14x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_language
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_top_cptroot
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::linked
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::linked_and_build
         1x                         |        0.5s        0.5s                         | TOP::CMDs::cpt::mixed_lang_to_cpt
        11x                         |        0.5s        0.4s                         | TOP::CMDs::cpt::read_mixed_lang
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::validate_link_design_top
         2x                         |        0.0s        0.0s                         | TOP::CMDs::create_clock
        11x                         |        0.0s        0.0s                         | TOP::CMDs::disable_msg
         1x                         |        0.0s        0.0s                         | TOP::CMDs::dump_verify_script
        52x                         |        0.0s        0.0s                         | TOP::CMDs::find
         1x                         |        0.0s        0.0s                         | TOP::CMDs::generate_clock_roots
         1x                         |        0.0s        0.0s                         | TOP::CMDs::get_cgc_edges
       106x                         |        0.0s        0.0s                         | TOP::CMDs::get_cpu_usage
      1318x                         |        0.0s        0.0s                         | TOP::CMDs::get_global
         3x                         |        0.0s        0.0s                         | TOP::CMDs::get_hierarchy
       131x                         |        0.0s        0.0s                         | TOP::CMDs::get_info
       185x                         |        0.0s        0.0s                         | TOP::CMDs::get_mem_usage
        59x                         |        0.0s        0.0s                         | TOP::CMDs::get_process_usage
         2x                         |        0.0s        0.0s                         | TOP::CMDs::get_sa_coverage
         2x                         |        0.0s        0.0s                         | TOP::CMDs::get_version
         1x                         |        0.0s        0.0s                         | TOP::CMDs::is_adviser_allowed
         1x                         |        0.5s        0.5s                         | TOP::CMDs::link_design
         3x                         |        0.1s        0.1s                         | TOP::CMDs::mark_synchronizer
         1x                         |        0.0s        0.0s                         | TOP::CMDs::move_clk_from_cgic_to_flop
         2x                         |        0.0s        0.0s                         | TOP::CMDs::pget
         1x                         |        2.8s        2.8s                         | TOP::CMDs::prototype_design
        11x                         |        0.5s        0.4s                         | TOP::CMDs::read_design
         2x                         |        0.4s        0.4s                         | TOP::CMDs::read_library
         1x                         |        1.3s        1.3s                         | TOP::CMDs::read_saif
        11x                         |        0.5s        0.4s                         | TOP::CMDs::read_vhdl
         2x                         |        0.0s        0.0s                         | TOP::CMDs::replace_user_cgic_module
         1x                         |        0.0s        0.0s                         | TOP::CMDs::report_efficiency
         1x                         |        0.1s        0.1s                         | TOP::CMDs::report_enable_logic
         2x                         |        0.0s        0.0s                         | TOP::CMDs::report_mem_cycle_based_redundancies
         2x                         |        9.6s        9.5s                         | TOP::CMDs::report_power
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_attrs_inout_mux
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_boundary_opt
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_dont_use_inoutblackbox_port
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_dont_use_unreadable_signal
       126x                         |        0.0s        0.0s                         | TOP::CMDs::set_global
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_hierarchy
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_operating_condition
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_powerpro_mode
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_powerpro_reset
         2x                         |        0.0s        0.0s                         | TOP::CMDs::set_wire_load_mode
         2x                         |        0.0s        0.0s                         | TOP::CMDs::sls_create_clock
         1x                         |        0.0s        0.0s                         | TOP::CMDs::sls_set_attrs_parallel_case_mux
        20x                         |        0.0s        0.0s                         | TOP::CMDs::source
         1x                         |        2.4s        2.4s                         | TOP::CMDs::synthesize_design
        21x                         |        0.1s        0.0s                         | TOP::CMDs::tcl_source
        11x                         |        0.0s        0.0s                         | TOP::CMDs::update_read_design
